QC_CHECK,MIN_ASOFDATE,MAX_ASOFDATE,DISTINCT_DATES
ASOFDATE Validation,2025-10-01,2025-10-01,1

QC_CHECK,STATUS,LOAN_COUNT,PERCENTAGE
SD Loan Status Distribution,Paid in Full,475,71.97
SD Loan Status Distribution,Current,93,14.09
SD Loan Status Distribution,Charge off,88,13.33
SD Loan Status Distribution,Seriously Delinquent 3+ Payments,3,0.45
SD Loan Status Distribution,Seriously Delinquent 2 Payments,1,0.15

QC_CHECK,EARLIEST_ORIGINATION,LATEST_ORIGINATION,TOTAL_NEW_LOANS
Q3 Origination Date Validation,2025-07-03,2025-09-22,18

QC_CHECK,TOTAL_OUTSTANDING,NULL_APR_COUNT,ZERO_OR_NEGATIVE_APR,MIN_APR,MAX_APR,AVG_APR
APR Data Quality,185,0,0,6.990,27.269,16.842

QC_CHECK,QUARTER,OUTSTANDING_LOANS,NEW_LOANS_THIS_QUARTER,MIN_APR,MAX_APR
Historical Trend Analysis,Q3 2025,185,18,6.990,27.269

QC_CHECK,EXACTLY_16_PERCENT,EXACTLY_36_PERCENT,OVER_36_PERCENT
APR Range Edge Cases,0,0,0

QC_CHECK,APPLICANTRESIDENCESTATE,LOAN_COUNT
State Data Validation,,20
State Data Validation,SD,660
