status
Statement executed successfully.

status
Statement executed successfully.

status
Statement executed successfully.

TEST_NAME,TOTAL_RECORDS,TEST_RESULT
Test 1: Record Count,181,PASS

TEST_NAME,EARLIEST_ORIGINATION,LATEST_ORIGINATION,TEST_RESULT
Test 2: Date Range,2023-10-02,2025-09-29,PASS

TEST_NAME,TOTAL_RECORDS,UNIQUE_LOAN_IDS,TEST_RESULT
Test 3: Duplicate Check,181,181,PASS

TEST_NAME,TOTAL_RECORDS,NULL_LOANID,NULL_ORIGINATION_DATE,NULL_STATUS,NULL_LOAN_AMOUNT,NULL_TERM,NULL_INTEREST_RATE,NULL_ORIGINATION_FEE,NULL_LAST_PAYMENT_DATE,TEST_RESULT
Test 4: Loan Fields,181,0,0,0,0,0,0,0,22,PASS

TEST_NAME,TOTAL_LOANS,LOANS_WITH_MEMBER_ID,LOANS_WITH_FIRST_NAME,LOANS_WITH_LAST_NAME,LOANS_WITH_ADDRESS,LOANS_WITH_CITY,LOANS_WITH_STATE,LOANS_WITH_ZIP,TEST_RESULT
Test 5: PII Availability,181,181,181,181,181,181,181,181,PASS - Most loans have PII

TEST_NAME,STATE,LOAN_COUNT,TEST_RESULT
Test 6: State Filter,MS,181,PASS

TEST_NAME,STATUS,LOAN_COUNT,PERCENTAGE
Test 7: Status Distribution,Current,147,81.22
Test 7: Status Distribution,Paid in Full,27,14.92
Test 7: Status Distribution,Charge off,7,3.87

TEST_NAME,MIN_INTEREST_RATE_PCT,MAX_INTEREST_RATE_PCT,AVG_INTEREST_RATE_PCT,TEST_RESULT
Test 8: Interest Rate Range,7.4500,23.6800,13.70,PASS

TEST_NAME,MIN_LOAN_AMOUNT,MAX_LOAN_AMOUNT,AVG_LOAN_AMOUNT,TOTAL_LOAN_VOLUME,TEST_RESULT
Test 9: Loan Amount Range,5000.0000,50000.0000,21065.19,3812800.0000,WARNING - Check loan amounts

TEST_NAME,ORIGINATION_MONTH,LOAN_COUNT,TOTAL_AMOUNT
Test 10: Monthly Distribution,2023-10-01,7,175500.0000
Test 10: Monthly Distribution,2023-11-01,12,206400.0000
Test 10: Monthly Distribution,2023-12-01,10,205000.0000
Test 10: Monthly Distribution,2024-01-01,10,229500.0000
Test 10: Monthly Distribution,2024-02-01,6,173300.0000
Test 10: Monthly Distribution,2024-03-01,3,90000.0000
Test 10: Monthly Distribution,2024-04-01,3,70000.0000
Test 10: Monthly Distribution,2024-05-01,3,46000.0000
Test 10: Monthly Distribution,2024-06-01,4,130000.0000
Test 10: Monthly Distribution,2024-07-01,3,95000.0000
Test 10: Monthly Distribution,2024-08-01,2,53400.0000
Test 10: Monthly Distribution,2024-09-01,6,129600.0000
Test 10: Monthly Distribution,2024-10-01,5,86000.0000
Test 10: Monthly Distribution,2024-11-01,8,170400.0000
Test 10: Monthly Distribution,2024-12-01,3,68000.0000
Test 10: Monthly Distribution,2025-01-01,3,36000.0000
Test 10: Monthly Distribution,2025-02-01,6,127000.0000
Test 10: Monthly Distribution,2025-03-01,6,140500.0000
Test 10: Monthly Distribution,2025-04-01,10,170500.0000
Test 10: Monthly Distribution,2025-05-01,13,254000.0000
Test 10: Monthly Distribution,2025-06-01,5,103000.0000
Test 10: Monthly Distribution,2025-07-01,19,377900.0000
Test 10: Monthly Distribution,2025-08-01,15,262500.0000
Test 10: Monthly Distribution,2025-09-01,19,413300.0000

